time,lines
1724850144,11924
1724850479,683233
1724850812,691765
1724851144,699988
1724851476,703044
1724851811,705276
1724852143,709007
1724852477,710910
1724852812,713245
1724853146,714554
1724853479,716233
1724853813,716907
1724854145,718211
1724854477,719095
1724854823,719335
1724855162,719513
1724855496,719941
1724855830,720209
1724856162,720274
1724856494,720392
1724856827,720484
1724857163,720681
1724857501,720859
1724857838,721145
1724858173,721558
1724858507,721862
1724858842,722021
1724859175,722174
1724859507,722460
1724859839,722862
1724860173,722903
1724860505,723007
1724860841,723084
1724861175,723282
1724861507,723299
1724861891,723319
1724862224,723819
1724862555,723905
1724862892,724038
1724863235,724228
1724863580,724276
1724863920,724287
1724864255,724414
1724864647,724509
1724864997,724644
1724867623,725392
1724867956,725394
1724868290,725409
1724868626,725415
1724868958,725445
1724869291,725493
1724869631,725711
1724869970,725770
1724870303,725791
1724870638,725936
1724870972,725970
1724871305,726055
1724871637,726307
1724871972,726387
1724872310,726387
1724872643,726523
1724872975,726574
1724873313,726619
1724873653,726645
1724873989,726703
1724874320,726736
1724874652,726753
1724874991,726754
1724875324,726821
1724875657,726864
1724876030,727020
1724876363,727035
1724876696,727035
1724877030,727093
1724877364,727109
1724877696,727140
1724878028,727226
1724878360,727277
1724878694,727669
1724879038,727717
1724879393,727874
1724879727,727889
1724880059,727904
1724880392,727919
1724880723,728024
1724881058,728041
1724881390,728041
1724881738,728079
1724882108,728149
1724882440,728166
1724882775,728173
1724883108,728195
1724883443,728333
1724883780,728478
1724884113,728531
1724884446,728610
1724884778,728639
1724885110,728639
1724885442,728639
1724885775,728671
1724886123,728684
1724886474,728735
1724886814,728749
1724887147,728755
1724887478,729069
1724887810,729081
1724888141,729083
1724888474,729083
1724888805,729117
1724889151,729163
1724889483,729163
1724889817,729163
1724890173,729268
1724890504,729279
1724890835,729379
1724891190,729647
1724891524,729647
1724891857,729718
1724892192,729732
1724892567,730874
1724892901,730874
1724893232,730877
1724893609,730882
1724893956,733853
1724894289,733853
1724894623,733859
1724894954,733859
1724895287,733939
1724895620,733966
1724895951,734011
1724896284,734154
1724896618,734155
1724896950,734167
1724897284,734209
1724897615,734211
1724897946,734239
1724898278,734239
1724898612,734253
1724898944,734253
1724899275,734260
1724899608,734305
1724899940,734371
1724900273,734384
1724900605,734425
1724900938,734504
1724901270,734562
1724901603,734703
1724901937,734707
1724902269,734707
1724902606,735110
1724902942,735133
1724903274,735133
1724903607,735345
1724903940,735350
1724904273,735392
1724904608,735494
1724904940,735494
1724905272,735499
1724905605,735504
1724905940,735508
1724906273,735508
1724906605,735508
1724906938,735508
1724907269,735518
1724907603,735518
1724907936,735518
1724908268,735612
1724908601,735612
1724908937,735625
1724909269,735635
1724909601,735635
1724909934,735635
1724910267,735660
1724910600,735830
1724910931,735832
1724911263,735838
1724911594,735838
1724911926,735863
1724912258,735863
1724912589,735879
1724912921,735879
1724913253,735879
1724913584,735884
1724913915,735902
1724914247,735903
1724914579,735904
1724914910,735928
1724915243,735928
1724915576,735930
1724915907,735930
1724916239,735981
1724916570,735981
1724916903,735981
1724917235,735981
1724917567,735981
1724917901,735981
1724918235,735983
1724918567,735983
1724918899,735986
1724919230,735986
1724919562,736004
1724919895,736004
1724920228,736019
1724920560,736019
1724920892,736045
1724921226,736070
1724921558,736097
1724921888,736220
1724922220,736226
1724922552,736226
1724922884,736240
1724923216,736240
1724923547,736262
1724923880,736262
1724924211,736308
1724924542,736308
1724924873,736359
1724925205,736365
1724925535,736440
1724925866,736440
1724926198,736440
1724926529,736535
1724926862,736535
1724927254,736535
1724927589,736597
1724928042,736597
1724928385,736597
1724928718,736602
1724929050,736602
1724929383,736616
1724929716,736733
1724933821,736965
1724934155,736980
1724934489,736980
1724934821,736980
1724935168,736980
1724935499,736999
1724935830,736999
1724936163,737005
1724936496,737023
1724936831,737038
1724937165,737116
1724937499,737116
1724937833,737116
1724938168,737188
1724938499,737188
1724938832,737188
1724939165,737188
1724939498,737202
1724939831,737202
1724940163,737353
1724940499,737353
1724940831,737389
1724941164,737419
1724941496,737447
1724941828,737494
1724942160,737504
1724942492,737504
1724942827,737509
1724943159,737509
1724943493,737591
1724943825,737612
1724944159,737612
1724944491,737612
1724944822,737619
1724945153,737646
1724945485,737646
1724945816,737646
1724946148,737646
1724946480,737646
1724946814,737646
1724947146,737660
1724947478,737699
1724947813,737699
1724948146,737703
1724948478,737716
1724948810,737716
1724949142,737716
1724949474,737722
1724949808,737749
1724950140,737752
1724950473,737752
1724950804,737752
1724951137,737752
1724951469,737752
1724951801,737808
1724952134,737872
1724952466,737894
1724952797,737919
1724953131,737919
1724953463,737919
1724953795,737919
1724954126,737919
1724954459,737919
1724954791,737922
1724955124,737922
1724955458,737922
1724955790,737922
1724956121,737922
1724956455,737979
1724956789,737979
1724957120,737997
1724957451,737997
1724957784,738008
1724958115,738026
1724958450,738071
1724958785,738079
1724959120,738081
1724959452,738081
1724959783,738081
1724960115,738119
1724960448,738119
1724960780,738119
1724961112,738119
1724961444,738119
1724961776,738235
1724962109,738235
1724962441,738235
1724962773,738284
1724963104,738284
1724963437,738284
1724963769,738284
1724964104,738284
1724964436,738284
1724964771,738284
1724965104,738299
1724965436,738299
1724965768,738319
1724966098,738333
1724966431,738366
1724966764,738371
1724967094,738375
1724967426,738375
1724967757,738375
1724968088,738375
1724968420,738379
1724968751,738391
1724969083,738393
1724969415,738393
1724969748,738393
1724970079,738393
1724970411,738393
1724970742,738396
1724971073,738403
1724971405,738403
1724971737,738403
1724972069,738403
1724972400,738403
1724972733,738403
1724973065,738491
1724973396,738498
1724973728,738545
1724974059,738545
1724974390,738559
1724974723,738560
1724975054,738560
1724975386,738560
1724975718,738560
1724976049,738560
1724976381,738593
1724976712,738593
1724977043,738598
1724977376,738598
1724977707,738598
1724978041,738598
1724978372,738598
1724978704,738598
1724979035,738631
1724979366,738631
1724979697,738631
1724980029,738631
1724980361,738670
1724980692,738692
1724981025,738692
1724981356,738692
1724981688,738692
1724982020,738692
1724982351,738692
1724982682,738696
1724983014,738696
1724983348,738696
1724983681,738702
1724984013,738708
1724984345,738708
1724984677,738708
1724985011,738708
1724985342,738710
1724985674,738741
1724986006,738741
1724986337,738741
1724986669,738741
1724987001,738741
1724987333,738741
1724987666,738875
1724987998,738886
1724988331,738886
1724988663,738887
1724988996,738890
1724989332,738890
1724989666,738890
1724990000,738930
1724990332,738930
1724990664,738966
1724990998,738966
1724991337,739011
1724991670,739037
1724992004,739069
1724992336,739074
1724992669,739074
1724993002,739087
1724993334,739092
1724993666,739092
1724993998,739092
1724994333,739092
1724994667,739092
1724995006,739107
1724995337,739107
1724995674,739119
1724996006,739119
1724996338,739121
1724996671,739176
1724997003,739181
1724997338,739201
1724997670,739201
1724998001,739217
1724998335,739237
1724998668,739237
1724998999,739252
1724999332,739252
1724999664,739252
1724999996,739252
1725000330,739252
1725000663,739252
1725000995,739276
1725001328,739278
1725001658,739278
1725001990,739278
1725002329,739285
1725002660,739285
1725002993,739285
1725003333,739335
1725003666,739335
1725004000,739335
1725004331,739335
1725004663,739335
1725004994,739335
1725005325,739335
1725005658,739336
1725005991,739393
1725006324,739408
1725006657,739408
1725006989,739442
1725007320,739442
1725007652,739442
1725007984,739478
1725008317,739478
1725008650,739478
1725008983,739483
1725009314,739485
1725009646,739485
1725009978,739492
1725010310,739625
1725010642,739628
1725010975,739668
1725011308,739668
1725011640,739674
1725011971,739674
1725012303,739693
1725012634,739693
1725012966,739695
1725013297,739695
1725013628,739695
1725013962,739695
1725014294,739702
1725014626,739702
1725014957,739717
1725015291,739732
1725015622,739732
1725015953,739732
1725016285,739732
1725016618,739732
1725016951,739732
1725017285,739732
1725017618,739732
1725017950,739732
1725018285,739732
1725018617,739733
1725018950,739733
1725019281,739733
1725019615,739733
1725019948,739963
1725020280,739963
1725020612,739963
1725020943,740073
1725021275,740073
1725021610,740075
1725021943,740077
1725022277,740077
1725022610,740077
