target,query,size,data_dependencies
neo4j,WITH 0 AS n0 ORDER BY null CALL { RETURN 0 AS n1 ORDER BY null } UNWIND 0 AS x RETURN x,87,1
neo4j,"RETURN null, [avg(0), endNode(null)] ORDER BY (CASE WHEN (true OR null) THEN 0 END)",83,0
neo4j,CALL { CREATE ()-[m:t]->() } MERGE ()<-[m:t]-()-[:t]->(),56,3
neo4j,"UNWIND (CASE WHEN true THEN COUNT { () } END) AS n0 MATCH ()-[*1{n1:0, n2:0}]-() RETURN 0",89,0
neo4j,MERGE (x:A) RETURN EXISTS { () } ORDER BY x,43,1
apache-age,MERGE ({n0:(null IS NULL)}),27,0
neo4j,"RETURN split("" "", [null])",25,0
neo4j,WITH 0 AS n0 MATCH ({n1:[x IN [] | 0]}) RETURN 0,48,0
neo4j,SET (CASE WHEN EXISTS { MATCH () } THEN null END).a = false,59,0
redisgraph,MERGE (x)<-[:A]-(x)<-[:A]-(x)-[y:A]->(x) DELETE y CREATE (x)-[:B]->() DELETE y,78,8
neo4j,CALL { MERGE () } RETURN null AS n0 UNION ALL MATCH () MATCH ()<-[:((!A&B)&(C|D))]-() RETURN null AS n0,103,0
apache-age,MATCH () MATCH (_{n0:0}) RETURN 0,33,0
redisgraph,MATCH ()-[*0]->(:A)--() RETURN 0,32,0
redisgraph,"CREATE x = ()-[y:A]->(), ({n0:none(n1 IN [n2 IN [0] | x] WHERE false)}) MERGE ()<-[:B]-() ON CREATE SET y = {}",110,2
neo4j,RETURN 0 LIMIT (CASE WHEN true THEN 1 WHEN ((null>null) XOR null) THEN 1 END),77,0
redisgraph,DELETE startNode(null) DELETE startNode(null),45,0
neo4j,"WITH * LIMIT 1 CALL { WITH null AS a0, [a1 IN collect(null) ] AS a2, null AS a3 RETURN 0 AS a4 } MERGE ()",105,0
apache-age,"MATCH ()<-[x]-(), ()-[*1{n0:startNode(x).n1}]->() RETURN 0",58,1
apache-age,MERGE ()-[x:A]->() SET x = { n0:endNode(x).n1 },47,2
neo4j,FOREACH (n0 IN [] | CREATE (x) ) MERGE ()<-[x:A]-()<-[:A]->(),61,2
redisgraph,RETURN (-1 IS NOT NULL),23,0
redisgraph,CREATE (x) DELETE x CREATE (x)<-[:A]-(x),40,3
neo4j,UNWIND [0]+[] AS i RETURN toBoolean(i),38,1
neo4j,"CREATE ()-[m:X]->(), ({n1:EXISTS { RETURN m AS x } })",53,1
redisgraph,MERGE ()<-[x:A]-() DELETE x MERGE (:B)<-[:C]-() DELETE x,56,2
redisgraph,MERGE x = () RETURN *,21,0
apache-age,MATCH ({n0:0}) MATCH ()-->() MATCH ({n1:0})--() RETURN 0 AS n2,62,0
redisgraph,MERGE () WITH 0 AS x MATCH ()<-[*..0]-() RETURN 0,49,0
redisgraph,CREATE ()-[x:A]->() DELETE x RETURN x,37,2
neo4j,WITH [] AS n0 ORDER BY null CALL { WITH [] AS n1 ORDER BY null UNWIND [0] AS x UNWIND [x] AS n2 RETURN 0 AS n3 } FOREACH ( n4 IN null | MERGE () ),146,1
redisgraph,REMOVE null.n0 RETURN 0,23,0
redisgraph,"WITH [0, 0] AS n0 OPTIONAL MATCH () UNWIND [0, 0, 0] AS n1 UNWIND [0, 0] AS n2 MERGE ()",87,0
redisgraph,MERGE n0 = ()<-[:A]-(x)<-[:B]-(x)-[:B]->()<-[:B]-(x),52,4
redisgraph,CREATE (x)-[:A{n0:properties(x).n1}]->(),40,1
neo4j,"CREATE ({n0:(substring("" "", 1, 2147483647))}) CREATE ()",55,0
neo4j,RETURN EXISTS { WITH 0 AS n0 MATCH ({n1:COUNT { RETURN 0 AS x } }) },68,0
apache-age,RETURN 0 AS x UNION RETURN COUNT(0) AS x,40,0
apache-age,CREATE (x) SET x.n0 = (true OR true),36,0
apache-age,RETURN (CASE WHEN true THEN (true AND true) END),48,0
neo4j,RETURN null ORDER BY properties(CASE WHEN null THEN null END),61,0
redisgraph,CREATE (x) CREATE ()-[:A{n1:size([n2 IN [n3 IN [0] | x.n4] | 0])}]->()-[y:B]->() DELETE y,89,2
apache-age,MERGE n0 = (:A)-[:B{n1:0}]->(x:C)-[:D]->(x)-[:E]->(x)<-[:F{n2:0}]-(:G{n3:0})-[:H{n4:0}]->(y:I{n5:0})<-[:J]-(y)<-[:K]-(:L{n6:0}),127,3
neo4j,"MATCH (x)-->({n0:EXISTS { WITH toBoolean(sum(0)) AS n2, x AS n3 RETURN 0 }}) RETURN 0",85,1
neo4j,UNWIND [0] AS n0 CALL { RETURN min(0) AS n1 ORDER BY COUNT { () } } RETURN 0,76,0
neo4j,CREATE (n) RETURN reverse(toStringOrNull(n)),44,1
neo4j,MATCH (n) SET n._1 = 0,22,1
neo4j,CALL { WITH [COUNT { () }] AS n0 RETURN 0 AS n1 } RETURN 0 AS n2,64,0
neo4j,CALL { CREATE ()-[:A]->() } MATCH ()-[:(B & C)]->(:!(D & E)) RETURN 0,69,0
apache-age,MERGE () MERGE n0 = (),22,0
redisgraph,WITH 0 AS x MATCH () UNWIND 0 AS y MATCH ({n0:(CASE y WHEN x THEN 0 END)}) RETURN 0,83,2
neo4j,MERGE ()-[:A]->({x:0}) RETURN EXISTS { (:!(B&C))-[{x:0}]->() },62,1
neo4j,"RETURN 1 % toInteger(""A"")",25,0
apache-age,RETURN pi()^0,13,0
apache-age,CREATE () WITH * MATCH (x{n0:x.n1}) RETURN 0,44,1
redisgraph,"UNWIND [0, 0, 0] AS n0 WITH [0] AS n1 ORDER BY 0 OPTIONAL MATCH () MERGE ()-[:A]->()-[:B]->()",93,0
neo4j,"CREATE ()-[m:A]->(), ({t:type(m)})",34,1
neo4j,WITH 0 AS n1 ORDER BY n1 MATCH () WHERE false WITH CASE 0 WHEN n1 THEN 0 END AS n3 ORDER BY n3 RETURN 0,103,3
neo4j,RETURN toBooleanOrNull(startNode(null)),39,0
neo4j,RETURN COUNT { RETURN null AS n0 UNION RETURN null AS n0 } AS n1 ORDER BY 0,75,0
neo4j,RETURN [x IN [] | COUNT { RETURN x AS n0 UNION RETURN x AS n0 }],64,2
